|name   |alt_name |ra         |dec        |vmag |bv_color|hr  |parallax|ub_color|
|HR 4513|         |11 43 52.90|-62 52 41.9| 6.10|0.06    |4513|        |0.13    |
|HR 5482|         |14 45 17.30|-62 52 32.9| 5.36|0.29    |5482|0.011   |        |
|HR 257 |         |00 53 37.90|-62 52 17.0| 5.70|1.56    | 257|        |1.77    |
|HR 6440|         |17 24 01.10|-62 51 51.1| 5.70|-0.14   |6440|        |-0.76   |
|HR 3432|         |08 37 18.79|-62 51 13.0| 5.47|1.02    |3432|0.020   |0.83    |
|HR 9023|         |23 49 44.69|-62 50 21.8| 6.59|1.48    |9023|        |        |
|HR 3186|         |08 04 42.89|-62 50 10.0| 6.30|-0.10   |3186|        |        |
|HR 1475|         |04 33 34.01|-62 49 25.0| 5.79|1.04    |1475|        |0.90    |
|HR 852 |Nu  Hor  |02 49 01.49|-62 48 24.1| 5.26|0.10    | 852|0.001   |0.06    |
|HR 7111|         |18 56 54.70|-62 48 04.0| 6.48|1.53    |7111|        |        |
|HR 3816|         |09 32 14.59|-62 47 20.0| 6.10|1.43    |3816|        |0.23    |
|HR 5551|The Cir  |14 56 43.99|-62 46 50.9| 5.11|0.00    |5551|        |-0.77   |
|HR 3914|         |09 50 55.70|-62 44 43.1| 5.57|1.32    |3914|        |1.31    |
|HR 8829|         |23 14 06.60|-62 42 00.0| 6.12|0.79    |8829|0.032   |0.35    |
|HR 4541|         |11 50 27.19|-62 38 57.8| 5.70|0.26    |4541|        |-0.04   |
|HR 5884|         |15 53 22.80|-62 36 24.8| 6.19|1.47    |5884|        |        |
|HR 5171|         |13 47 10.70|-62 35 24.0| 6.51|1.98    |5171|        |1.19    |
|HR 762 |         |02 33 33.60|-62 35 12.8| 6.77|-0.06   | 762|        |        |
|HR 1006|Zet1Ret  |03 17 46.20|-62 34 31.1| 5.54|0.64    |1006|0.097   |0.06    |
|HR 5951|         |16 02 52.39|-62 32 30.1| 6.25|-0.04   |5951|        |        |
|HR 1435|         |04 27 45.91|-62 31 14.9| 5.75|1.01    |1435|        |0.82    |
|HR 3884|         |09 45 14.81|-62 30 28.1| 3.69|1.22    |3884|0.027   |0.85    |
|HR 1010|Zet2Ret  |03 18 12.89|-62 30 23.0| 5.24|0.60    |1010|0.091   |0.00    |
|HR 199 |         |00 44 32.30|-62 29 52.1| 6.07|0.44    | 199|        |0.13    |
|HR 1922|Bet Dor  |05 33 37.49|-62 29 22.9| 3.76|0.82    |1922|0.012   |0.55    |
|HR 4511|         |11 43 31.20|-62 29 21.8| 5.03|0.80    |4511|0.037   |0.35    |
|HR 1336|Alp Ret  |04 14 25.51|-62 28 26.0| 3.35|0.91    |1336|0.013   |0.63    |
|HR 4573|         |11 57 40.10|-62 26 56.0| 5.57|-0.15   |4573|        |-0.66   |
|HR 7959|         |20 51 38.30|-62 25 45.1| 6.28|0.15    |7959|0.009   |0.08    |
|HR 7960|         |20 51 38.81|-62 25 45.1| 6.59|0.17    |7960|0.009   |0.06    |
|HR 4325|         |11 06 32.40|-62 25 27.1| 4.61|1.03    |4325|0.055   |0.81    |
|HR 3728|         |09 20 56.81|-62 24 16.9| 4.81|0.94    |3728|0.017   |0.62    |
|HR 3663|         |09 11 16.61|-62 19 01.9| 3.97|-0.18   |3663|        |-0.67   |
|HR 1867|         |05 29 17.40|-62 18 51.8| 6.59|1.53    |1867|        |1.85    |
|HR 6916|Nu  Pav  |18 31 22.39|-62 16 41.9| 4.64|-0.11   |6916|        |-0.39   |
|HR 3776|         |09 28 46.99|-62 16 23.2| 5.92|1.10    |3776|        |0.97    |
|HR 1340|         |04 14 48.70|-62 11 30.8| 5.45|1.10    |1340|0.006   |1.03    |
|HR 7074|Lam Pav  |18 52 13.01|-62 11 15.0| 4.22|-0.14   |7074|        |-0.89   |
|HR 1264|Gam Ret  |04 00 53.81|-62 09 33.8| 4.51|1.65    |1264|        |1.81    |
|HR 3967|         |10 02 49.39|-62 09 23.0| 6.42|1.72    |3967|        |1.90    |
|HR 2196|         |06 07 03.41|-62 09 16.9| 5.05|1.25    |2196|0.013   |1.35    |
|HR 4499|         |11 40 53.59|-62 05 24.0| 4.94|1.15    |4499|0.025   |0.81    |
|HR 1492|         |04 36 45.60|-62 04 39.0| 5.40|1.58    |1492|        |0.86    |
|HR 6761|Iot Pav  |18 10 26.11|-62 00 07.9| 5.49|0.58    |6761|0.053   |0.09    |
|HR 8843|         |23 16 57.70|-62 00 04.0| 5.66|0.51    |8843|        |        |
|HR 8582|Nu  Tuc  |22 33 00.10|-61 58 55.9| 4.81|1.61    |8582|0.007   |1.75    |
|HR 3752|         |09 25 27.10|-61 57 01.1| 5.77|0.15    |3752|        |0.13    |
|HR 4338|         |11 08 34.01|-61 56 49.9| 5.13|0.22    |4338|0.009   |-0.44   |
|HR 2550|Alp Pic  |06 48 11.40|-61 56 29.0| 3.27|0.21    |2550|0.052   |0.13    |
|HR 8352|         |21 55 11.50|-61 53 11.0| 5.90|0.39    |8352|0.019   |        |
|HR 3971|         |10 03 34.30|-61 53 02.0| 6.14|-0.04   |3971|0.008   |-0.43   |
|HR 2410|         |06 31 10.61|-61 52 46.9| 6.15|-0.15   |2410|        |        |
|HR 4790|         |12 35 28.99|-61 50 30.8| 6.22|0.73    |4790|        |0.30    |
|HR 4266|         |10 54 29.59|-61 49 36.1| 5.93|1.75    |4266|        |1.97    |
|HR 4487|         |11 38 07.30|-61 49 35.0| 5.15|-0.02   |4487|0.024   |-0.16   |
|HR 4747|         |12 28 25.49|-61 47 43.1| 6.22|1.26    |4747|        |1.32    |
|HR 332 |Iot Tuc  |01 07 18.70|-61 46 31.1| 5.37|0.88    | 332|0.033   |        |
|HR 5645|         |15 13 01.01|-61 44 38.0| 6.32|1.90    |5645|        |        |
|HR 5113|         |13 37 12.19|-61 41 30.8| 5.63|0.50    |5113|0.032   |        |
|HR 4140|         |10 32 01.39|-61 41 07.1| 3.32|-0.09   |4140|        |-0.72   |
|HR 8669|         |22 48 21.41|-61 41 03.1| 6.37|1.06    |8669|        |0.90    |
|HR 6356|         |17 10 06.29|-61 40 32.2| 6.39|-0.04   |6356|        |        |
|HR 4022|         |10 13 21.19|-61 39 32.0| 6.41|-0.11   |4022|        |-0.66   |
|HR 3742|         |09 24 05.69|-61 38 56.0| 5.99|1.06    |3742|        |        |
|HR 6125|         |16 30 49.39|-61 38 01.0| 5.20|1.23    |6125|0.006   |        |
|HR 591 |Alp Hyi  |01 58 46.20|-61 34 10.9| 2.86|0.28    | 591|0.048   |0.14    |
|HR 3999|         |10 09 21.89|-61 32 57.1| 5.60|1.60    |3999|        |1.75    |
|HR 2468|         |06 38 00.60|-61 31 59.2| 6.18|0.62    |2468|        |0.12    |
|HR 7859|Rho Pav  |20 37 35.30|-61 31 48.0| 4.88|0.43    |7859|0.003   |0.19    |
|HR 6855|Xi  Pav  |18 23 13.61|-61 29 38.0| 4.36|1.48    |6855|0.016   |1.55    |
|HR 5252|         |14 00 17.30|-61 28 53.0| 6.49|0.33    |5252|        |-0.04   |
|HR 5632|         |15 10 44.59|-61 25 21.0| 6.30|0.63    |5632|        |0.16    |
|HR 1247|Del Ret  |03 58 44.69|-61 24 01.1| 4.56|1.62    |1247|-0.001  |1.96    |
|HR 4128|         |10 30 39.19|-61 21 22.0| 6.43|1.76    |4128|        |1.84    |
|HR 4050|         |10 17 04.99|-61 19 55.9| 3.40|1.54    |4050|0.027   |1.72    |
|HR 3856|         |09 39 21.00|-61 19 41.2| 4.52|-0.07   |3856|        |-0.21   |
|HR 4290|         |10 59 13.99|-61 19 13.1| 6.16|-0.06   |4290|        |-0.29   |
|HR 3220|         |08 09 00.70|-61 18 09.0| 4.76|0.43    |3220|0.055   |-0.03   |
|HR 4475|         |11 37 00.60|-61 16 59.9| 5.15|1.12    |4475|0.002   |1.15    |
|HR 4438|         |11 31 15.00|-61 16 41.9| 6.38|0.52    |4438|        |-0.11   |
|HR 4634|         |12 11 04.90|-61 16 39.0| 6.08|0.39    |4634|        |0.09    |
|HR 5349|         |14 19 51.50|-61 16 23.2| 5.23|0.29    |5349|0.034   |0.16    |
|HR 1416|         |04 25 05.30|-61 14 17.9| 5.94|1.54    |1416|        |1.85    |
|HR 4522|         |11 46 30.79|-61 10 41.9| 4.11|0.90    |4522|0.011   |0.58    |
|HR 1936|         |05 34 57.60|-61 10 32.9| 6.32|0.85    |1936|        |        |
|HR 7558|         |19 54 40.39|-61 10 14.9| 6.24|0.16    |7558|        |        |
|HR 4415|         |11 26 35.30|-61 06 55.1| 5.30|-0.08   |4415|        |-0.54   |
|HR 7015|         |18 45 11.50|-61 05 42.0| 6.04|1.46    |7015|        |        |
|HR 1266|Iot Ret  |04 01 18.19|-61 04 44.0| 4.97|1.42    |1266|0.014   |1.70    |
|HR 7527|         |19 50 21.70|-61 03 41.0| 6.21|-0.14   |7527|        |-0.55   |
|HR 4472|         |11 36 22.30|-61 03 07.9| 5.83|-0.09   |4472|        |-0.63   |
|HR 1096|         |03 32 51.60|-61 01 00.8| 6.41|1.04    |1096|        |0.91    |
|HR 6167|         |16 38 52.70|-60 59 25.1| 6.18|-0.08   |6167|        |-0.39   |
|HR 5035|         |13 22 37.90|-60 59 17.9| 4.53|-0.13   |5035|        |-0.60   |
|HR 4151|         |10 34 12.91|-60 59 16.1| 6.23|1.40    |4151|        |1.55    |
|HR 4842|Iot Cru  |12 45 37.90|-60 58 52.0| 4.69|1.05    |4842|0.036   |0.94    |
|HR 5034|         |13 22 35.69|-60 58 19.9| 6.18|0.01    |5034|        |-0.58   |
|HR 4607|         |12 04 57.10|-60 58 09.1| 5.96|1.67    |4607|        |2.04    |
|HR 3604|         |09 00 45.70|-60 57 50.0| 5.79|1.21    |3604|        |        |
|HR 5664|Del Cir  |15 16 56.71|-60 57 27.0| 5.09|-0.06   |5664|        |-0.92   |
|HR 1357|         |04 16 21.10|-60 56 55.0| 6.37|0.07    |1357|0.015   |0.01    |
|HR 5661|         |15 16 36.41|-60 54 14.0| 5.73|-0.08   |5661|        |-0.89   |
|HR 571 |         |01 55 46.39|-60 51 41.0| 6.06|0.37    | 571|        |0.01    |
|HR 4622|         |12 08 24.60|-60 50 49.9| 6.22|1.74    |4622|        |1.88    |
|HR 5460|Alp2Cen  |14 39 36.10|-60 50 08.2| 1.33|0.88    |5460|0.751   |0.68    |
|HR 5459|Alp1Cen  |14 39 35.90|-60 50 07.1|-0.01|0.71    |5459|0.751   |0.24    |
|HR 3147|         |07 58 50.50|-60 49 27.8| 5.81|-0.09   |3147|        |-0.80   |
|HR 505 |         |01 41 48.00|-60 47 21.8| 5.71|1.27    | 505|        |        |
|HR 5898|         |15 54 52.61|-60 44 35.9| 6.15|0.10    |5898|        |        |
|HR 281 |         |00 58 22.39|-60 41 47.0| 6.23|0.10    | 281|        |0.13    |
|HR 6500|Del Ara  |17 31 05.90|-60 41 02.0| 3.62|-0.10   |6500|        |-0.31   |
|HR 6447|         |17 24 18.70|-60 40 25.0| 5.77|-0.08   |6447|        |        |
|HR 5700|         |15 23 10.39|-60 39 24.8| 5.67|0.48    |5700|        |0.00    |
|HR 3571|         |08 55 02.81|-60 38 40.9| 3.84|-0.10   |3571|        |-0.45   |
|HR 4217|         |10 46 16.80|-60 36 11.9| 6.25|0.04    |4217|        |0.03    |
|HR 3153|         |07 59 37.61|-60 35 12.8| 5.17|1.74    |3153|-0.001  |1.91    |
|HR 7848|Phi1Pav  |20 35 34.80|-60 34 54.1| 4.76|0.28    |7848|0.026   |0.05    |
|HR 4200|         |10 43 32.09|-60 34 00.1| 4.57|1.71    |4200|0.020   |1.87    |
|HR 7875|Phi2Pav  |20 40 02.59|-60 32 56.0| 5.12|0.53    |7875|0.048   |0.01    |
|HR 3120|         |07 56 18.60|-60 31 35.0| 5.74|1.55    |3120|        |1.80    |
|HR 4271|         |10 55 17.21|-60 31 00.8| 5.92|1.08    |4271|        |0.88    |
|HR 8646|         |22 44 16.51|-60 29 57.8| 6.30|0.56    |8646|        |        |
|HR 5680|         |15 18 48.91|-60 29 47.0| 5.46|-0.10   |5680|        |-0.90   |
|HR 5905|         |15 56 06.00|-60 28 58.1| 5.76|0.06    |5905|        |0.07    |
|HR 6177|         |16 40 50.50|-60 26 46.0| 6.18|0.48    |6177|        |        |
|HR 3960|         |10 02 00.00|-60 25 14.9| 5.94|0.26    |3960|        |0.10    |
|HR 4700|Eps Cru  |12 21 21.60|-60 24 04.0| 3.59|1.42    |4700|0.026   |1.63    |
|HR 4868|         |12 50 12.00|-60 24 02.9| 6.75|0.35    |4868|        |0.21    |
|HR 4890|Kap Cru  |12 53 49.10|-60 22 36.8| 5.90|0.20    |4890|        |-0.65   |
|HR 5267|Bet Cen  |14 03 49.39|-60 22 23.2| 0.61|-0.23   |5267|0.009   |-0.98   |
|HR 3560|         |08 53 48.70|-60 21 15.1| 5.78|-0.08   |3560|        |-0.55   |
|HR 4876|         |12 51 17.81|-60 19 46.9| 5.72|0.38    |4876|        |-0.10   |
|HR 4887|         |12 53 21.79|-60 19 43.0| 5.76|0.33    |4887|        |-0.42   |
|HR 4352|         |11 12 36.00|-60 19 03.0| 4.60|0.55    |4352|0.005   |0.05    |
|HR 3443|         |08 39 13.20|-60 19 01.9| 6.36|0.00    |3443|0.013   |        |
|HR 714 |Lam Hor  |02 24 53.90|-60 18 42.8| 5.35|0.39    | 714|0.023   |0.06    |
|HR 3138|         |07 57 46.90|-60 18 11.9| 5.60|0.57    |3138|0.062   |0.00    |
|HR 3740|         |09 23 27.41|-60 18 09.0| 6.30|1.48    |3740|        |1.68    |
|HR 5836|         |15 43 55.10|-60 17 13.9| 6.48|1.05    |5836|        |        |
|HR 3070|         |07 49 12.89|-60 17 01.0| 5.78|0.42    |3070|        |-0.01   |
|HR 2345|         |06 24 13.70|-60 16 52.0| 5.80|0.00    |2345|        |-0.01   |
|HR 186 |         |00 42 41.81|-60 15 45.0| 5.98|1.32    | 186|        |1.45    |
|HR 8502|Alp Tuc  |22 18 30.10|-60 15 34.9| 2.86|1.39    |8502|0.026   |1.54    |
|HR 2562|         |06 50 01.10|-60 14 57.1| 6.11|0.46    |2562|        |        |
|HR 3152|         |07 59 40.20|-60 12 27.0| 6.33|-0.06   |3152|        |-0.40   |
|HR 7127|Ome Pav  |18 58 36.41|-60 12 02.2| 5.14|1.37    |7127|0.019   |1.44    |
|HR 3966|         |10 02 59.90|-60 10 43.0| 6.19|0.17    |3966|        |        |
|HR 5900|         |15 55 32.30|-60 10 40.1| 5.77|0.35    |5900|0.028   |0.14    |
|HR 6624|         |17 51 35.50|-60 09 51.8| 5.78|1.00    |6624|        |        |
|HR 5546|         |14 55 34.61|-60 06 51.1| 5.20|1.16    |5546|0.031   |1.15    |
|HR 2151|         |06 02 09.19|-60 05 48.8| 6.45|1.58    |2151|        |1.81    |
|HR 8889|         |23 22 56.90|-60 03 20.9| 6.09|1.60    |8889|        |1.91    |
|HR 3076|         |07 49 54.79|-60 03 04.0| 6.72|1.24    |3076|        |        |
|HR 5432|         |14 35 17.21|-60 00 56.9| 6.40|1.26    |5432|        |        |
|HR 4975|         |13 12 17.40|-59 55 14.9| 4.60|-0.08   |4975|0.014   |-0.38   |
|HR 4228|         |10 48 05.40|-59 55 09.1| 6.00|0.27    |4228|        |-0.30   |
|HR 4018|         |10 13 01.30|-59 55 05.2| 6.10|-0.08   |4018|        |-0.48   |
|HR 5326|         |14 16 34.20|-59 54 50.0| 6.39|2.04    |5326|        |1.24    |
|HR 5803|         |15 39 56.50|-59 54 29.9| 5.95|0.48    |5803|0.029   |        |
|HR 4043|         |10 16 03.10|-59 54 11.9| 6.22|0.20    |4043|0.012   |        |
|HR 8686|         |22 51 44.90|-59 52 53.0| 6.46|1.13    |8686|        |        |
|HR 4944|         |13 07 24.19|-59 51 38.2| 5.99|0.48    |4944|        |0.12    |
|HR 6525|         |17 35 34.90|-59 50 46.0| 6.28|-0.08   |6525|        |-0.46   |
|HR 4980|         |13 12 55.99|-59 49 00.1| 6.16|0.60    |4980|        |0.08    |
|HR 5024|         |13 20 34.90|-59 46 23.9| 6.18|0.43    |5024|        |        |
|HR 3457|         |08 40 37.01|-59 45 40.0| 4.33|-0.11   |3457|        |-0.80   |
|HR 934 |Mu  Hor  |03 03 36.79|-59 44 16.1| 5.11|0.34    | 934|0.025   |-0.03   |
|HR 1530|Kap Dor  |04 44 21.10|-59 43 58.1| 5.27|0.20    |1530|0.024   |        |
|HR 4276|         |10 57 48.41|-59 43 54.8| 6.11|1.10    |4276|        |1.10    |
|HR 5281|         |14 06 25.10|-59 42 56.2| 6.42|0.12    |5281|        |-0.80   |
|HR 6408|         |17 19 12.41|-59 41 39.8| 5.91|1.37    |6408|        |        |
|HR 4853|Bet Cru  |12 47 43.20|-59 41 19.0| 1.25|-0.23   |4853|        |-1.00   |
|HR 4823|         |12 41 56.59|-59 41 08.9| 4.93|-0.04   |4823|        |-0.39   |
|HR 4210|Eta Car  |10 45 03.60|-59 41 03.1| 6.21|0.61    |4210|        |-0.45   |
|HR 4188|         |10 41 17.59|-59 40 36.8| 6.42|0.08    |4188|        |-0.82   |
|HR 8409|Kap2Ind  |22 05 50.90|-59 38 10.0| 5.62|1.46    |8409|        |1.81    |
|HR 4361|         |11 13 30.79|-59 37 09.8| 5.74|-0.10   |4361|        |-0.71   |
|HR 4164|         |10 36 20.30|-59 33 52.9| 5.08|1.18    |4164|0.038   |1.20    |
|HR 4442|Omi2Cen  |11 31 48.79|-59 30 56.9| 5.15|0.49    |4442|0.014   |-0.11   |
|HR 3307|Eps Car  |08 22 30.79|-59 30 34.9| 1.86|1.28    |3307|        |0.19    |
|HR 176 |         |00 40 26.40|-59 27 15.8| 5.89|0.55    | 176|0.058   |0.01    |
|HR 4441|Omi1Cen  |11 31 46.10|-59 26 31.9| 5.13|1.08    |4441|0.024   |0.78    |
|HR 3913|         |09 51 12.10|-59 25 32.9| 5.79|1.36    |3913|        |1.28    |
|HR 4768|         |12 31 40.30|-59 25 26.0| 5.48|0.63    |4768|0.010   |0.38    |
|HR 3673|         |09 12 55.61|-59 24 51.8| 5.54|0.85    |3673|        |        |
|HR 7625|         |20 01 44.69|-59 22 34.0| 5.13|1.53    |7625|0.005   |1.31    |
|HR 2592|         |06 52 45.41|-59 20 28.0| 6.41|0.18    |2592|        |        |
|HR 4239|         |10 49 24.10|-59 19 25.0| 5.91|0.00    |4239|0.010   |-0.09   |
|HR 5704|Gam Cir  |15 23 22.70|-59 19 14.9| 4.51|0.19    |5704|0.010   |-0.35   |
|HR 1355|Eps Ret  |04 16 28.90|-59 18 06.8| 4.44|1.08    |1355|0.067   |1.07    |
|HR 5292|         |14 08 56.30|-59 16 36.1| 6.34|0.05    |5292|        |-0.51   |
|HR 3699|Iot Car  |09 17 05.40|-59 16 31.1| 2.25|0.18    |3699|0.017   |0.16    |
|HR 3582|         |08 56 58.39|-59 13 45.8| 4.92|-0.19   |3582|        |-0.77   |
|HR 3825|         |09 34 26.71|-59 13 45.8| 4.08|0.01    |3825|        |-0.56   |
|HR 4198|         |10 42 40.61|-59 12 56.9| 5.38|0.26    |4198|        |-0.65   |
|HR 2274|         |06 16 18.50|-59 12 49.0| 6.43|0.59    |2274|0.043   |0.14    |
|HR 5403|         |14 28 43.49|-59 11 52.1| 6.45|0.14    |5403|        |0.13    |
|HR 7531|         |19 50 44.81|-59 11 35.2| 5.42|0.08    |7531|0.013   |        |
|HR 4177|         |10 38 45.10|-59 10 59.2| 4.66|1.48    |4177|0.016   |0.97    |
|HR 2674|         |07 03 15.60|-59 10 41.2| 5.50|-0.11   |2674|0.014   |-0.47   |
|HR 3274|         |08 17 55.80|-59 10 00.8| 6.42|0.39    |3274|        |0.00    |
|HR 4897|Lam Cru  |12 54 39.19|-59 08 48.1| 4.62|-0.15   |4897|        |-0.61   |
|HR 3126|         |07 56 50.71|-59 07 35.0| 6.25|2.08    |3126|        |2.29    |
|HR 4989|         |13 14 14.81|-59 06 11.9| 4.92|0.48    |4989|0.053   |        |
|HR 3598|         |08 59 24.10|-59 05 01.0| 5.16|0.42    |3598|0.054   |        |
|HR 6229|Eta Ara  |16 49 47.09|-59 02 29.0| 3.76|1.57    |6229|0.025   |1.94    |
|HR 6760|         |18 09 57.60|-59 02 24.0| 6.38|1.55    |6760|        |        |
|HR 8369|Kap1Ind  |21 58 30.10|-59 00 43.9| 6.12|0.46    |8369|        |-0.02   |
|HR 4739|         |12 27 28.70|-58 59 30.8| 5.50|1.45    |4739|0.007   |1.58    |
|HR 4337|         |11 08 35.40|-58 58 30.0| 3.91|1.23    |4337|-0.001  |0.94    |
|HR 3659|         |09 10 58.01|-58 58 00.8| 3.44|-0.19   |3659|        |-0.70   |
|HR 6304|         |17 01 47.40|-58 57 29.9| 6.11|-0.03   |6304|        |        |
|HR 1504|         |04 40 18.29|-58 56 37.0| 6.53|0.68    |1504|0.064   |0.24    |
|HR 2661|         |07 01 05.09|-58 56 24.0| 6.02|0.30    |2661|        |        |
|HR 1836|Lam Dor  |05 26 19.30|-58 54 45.0| 5.14|1.00    |1836|0.012   |        |
|HR 4835|         |12 43 28.20|-58 54 11.2| 6.40|1.09    |4835|        |1.00    |
|HR 7587|         |19 57 06.19|-58 54 05.0| 5.26|-0.01   |7587|0.022   |        |
|HR 1930|         |05 35 02.40|-58 52 16.0| 6.75|1.45    |1930|        |1.80    |
|HR 4257|         |10 53 29.59|-58 51 11.9| 3.78|0.95    |4257|0.059   |0.65    |
|HR 4007|         |10 11 35.21|-58 49 41.2| 6.40|1.66    |4007|        |1.75    |
|HR 4179|         |10 38 59.40|-58 49 00.8| 5.92|1.65    |4179|        |1.96    |
|HR 5670|Bet Cir  |15 17 30.79|-58 48 04.0| 4.07|0.09    |5670|0.053   |0.09    |
|HR 3887|         |09 45 55.39|-58 47 39.1| 6.22|0.46    |3887|        |        |
|HR 5140|         |13 42 01.10|-58 47 13.9| 5.38|-0.03   |5140|        |-0.23   |
|HR 2412|Mu  Pic  |06 31 58.39|-58 45 15.1| 5.70|-0.06   |2412|        |-0.18   |
|HR 4656|Del Cru  |12 15 08.71|-58 44 56.0| 2.80|-0.23   |4656|0.003   |-0.91   |
|HR 4114|         |10 27 52.70|-58 44 21.8| 3.82|0.31    |4114|0.010   |0.24    |
|HR 4169|         |10 37 26.81|-58 43 59.9| 5.45|0.50    |4169|        |-0.24   |
|HR 3489|         |08 45 05.30|-58 43 30.0| 6.21|-0.09   |3489|0.006   |-0.47   |
|HR 6939|         |18 33 29.50|-58 42 33.1| 6.44|0.68    |6939|        |0.18    |
|HR 4988|         |13 14 12.10|-58 41 02.0| 5.89|1.08    |4988|        |        |
|HR 4323|         |11 06 29.30|-58 40 31.1| 6.02|1.24    |4323|        |        |
|HR 4144|         |10 32 47.59|-58 40 00.8| 6.00|0.32    |4144|        |-0.07   |
|HR 3006|         |07 42 10.20|-58 37 50.9| 6.43|-0.10   |3006|        |        |
|HR 5465|         |14 41 55.70|-58 36 58.0| 6.22|0.45    |5465|        |        |
|HR 6114|         |16 28 15.19|-58 35 58.9| 5.69|0.00    |6114|        |        |
|HR 4095|         |10 24 59.40|-58 34 35.0| 5.95|0.32    |4095|        |        |
|HR 1597|         |04 54 52.99|-58 32 49.9| 6.12|0.44    |1597|        |-0.06   |
|HR 2336|         |06 23 46.90|-58 32 38.0| 6.48|0.12    |2336|        |        |
|HR 6215|         |16 46 21.19|-58 30 13.0| 5.74|-0.09   |6215|        |        |
|HR 5486|         |14 44 55.49|-58 28 40.1| 6.11|1.02    |5486|        |        |
|HR 8909|         |23 27 15.00|-58 28 34.0| 5.63|0.98    |8909|        |        |
|HR 5371|         |14 22 37.01|-58 27 33.8| 4.92|0.86    |5371|0.024   |0.48    |
|HR 4342|         |11 10 54.70|-58 27 19.1| 6.88|-0.08   |4342|        |-0.44   |
|HR 7986|Bet Ind  |20 54 48.60|-58 27 15.1| 3.65|1.25    |7986|-0.005  |1.23    |
|HR 4895|         |12 54 22.01|-58 25 50.2| 6.58|0.76    |4895|        |0.60    |
|HR 5122|         |13 38 07.61|-58 24 54.0| 6.42|1.12    |5122|        |0.93    |
|HR 3691|         |09 15 17.50|-58 23 19.0| 6.02|-0.10   |3691|        |-0.43   |
|HR 3793|         |09 30 23.40|-58 21 42.1| 5.88|1.70    |3793|        |1.68    |
|HR 6219|         |16 47 19.51|-58 20 29.0| 5.58|-0.08   |6219|        |-1.00   |
|HR 468 |         |01 36 44.81|-58 16 14.9| 6.18|1.61    | 468|        |1.89    |
|HR 3568|         |08 54 54.00|-58 14 24.0| 6.38|-0.11   |3568|        |-0.49   |
|HR 8848|Gam Tuc  |23 17 25.80|-58 14 08.9| 3.99|0.40    |8848|0.043   |-0.02   |
|HR 3012|         |07 42 53.30|-58 13 48.0| 6.21|1.05    |3012|        |0.84    |
|HR 3415|         |08 35 15.41|-58 13 30.0| 5.26|-0.14   |3415|        |-0.61   |
|HR 4147|         |10 33 25.30|-58 11 25.1| 6.14|0.35    |4147|        |-0.44   |
|HR 460 |         |01 35 15.19|-58 08 21.8| 6.01|0.38    | 460|0.011   |        |
|HR 4009|         |10 11 46.51|-58 03 38.2| 5.72|-0.08   |4009|        |-0.91   |
|HR 6438|         |17 22 55.01|-58 00 37.1| 5.88|1.07    |6438|        |0.86    |
|HR 3414|         |08 35 19.61|-58 00 33.1| 4.86|1.00    |3414|0.017   |0.81    |
|HR 2369|         |06 27 04.01|-58 00 07.9| 5.82|1.28    |2369|        |        |
|HR 3863|         |09 40 42.50|-57 59 01.0| 5.32|0.20    |3863|0.031   |0.10    |
|HR 7434|         |19 38 25.90|-57 58 59.9| 6.18|0.97    |7434|0.015   |0.81    |
|HR 3293|         |08 21 12.00|-57 58 23.2| 5.97|-0.09   |3293|        |-0.80   |
|HR 4091|         |10 23 50.90|-57 57 14.0| 6.35|1.52    |4091|        |1.78    |
|HR 5994|Iot2Nor  |16 09 18.60|-57 56 03.8| 5.57|-0.04   |5994|        |        |
|HR 7586|         |19 56 57.70|-57 55 32.2| 6.53|1.53    |7586|        |1.79    |
|HR 6040|         |16 15 49.70|-57 54 43.9| 5.63|0.14    |6040|        |        |
|HR 6251|         |16 54 00.50|-57 54 33.8| 5.94|1.59    |6251|        |1.92    |
|HR 6062|         |16 18 51.89|-57 53 58.9| 6.49|1.00    |6062|        |0.66    |
|HR 8362|Pi  Ind  |21 56 13.99|-57 53 57.8| 6.19|0.21    |8362|        |0.15    |
|HR 8593|         |22 35 52.90|-57 53 01.0| 6.23|0.20    |8593|        |        |
|HR 3622|         |09 04 48.00|-57 51 09.0| 6.44|0.25    |3622|        |0.19    |
|HR 8531|         |22 24 56.40|-57 47 49.9| 5.32|0.67    |8531|0.058   |0.13    |
|HR 5961|Iot1Nor  |16 03 31.90|-57 46 31.1| 4.63|0.24    |5961|0.023   |0.09    |
|HR 6120|         |16 29 45.00|-57 45 20.9| 6.06|1.48    |6120|        |        |
|HR 6320|         |17 04 24.70|-57 42 43.9| 5.73|-0.10   |6320|        |-0.56   |
|HR 4526|         |11 47 19.10|-57 41 47.0| 5.41|1.67    |4526|0.004   |1.99    |
|HR 350 |         |01 10 07.39|-57 41 39.8| 6.41|0.89    | 350|        |        |
|HR 4706|         |12 22 49.30|-57 40 34.0| 5.39|-0.10   |4706|        |-0.41   |
|HR 4110|         |10 27 24.41|-57 38 20.0| 4.66|0.51    |4110|-0.012  |0.02    |
|HR 3536|         |08 51 36.60|-57 38 01.0| 5.59|-0.11   |3536|        |-0.41   |
|HR 5124|         |13 38 49.10|-57 37 23.2| 6.01|1.14    |5124|        |        |
|HR 3693|         |09 15 34.99|-57 34 41.2| 6.32|1.04    |3693|        |        |
