|name   |alt_name |ra         |dec        |vmag |bv_color|hr  |parallax|ub_color|
|HR 6899|         |18 32 55.30|-73 57 56.2| 5.89|0.98    |6899|        |0.83    |
|HR 1964|         |05 34 44.69|-73 44 29.0| 5.78|1.71    |1964|        |1.83    |
|HR 6751|         |18 12 34.49|-73 40 18.1| 5.85|0.46    |6751|0.031   |0.05    |
|HR 715 |Kap Hyi  |02 22 52.30|-73 38 44.9| 5.01|1.09    | 715|        |1.04    |
|HR 8794|         |23 08 35.69|-73 35 11.0| 6.15|1.42    |8794|        |1.68    |
|HR 5782|Kap2Aps  |15 40 21.19|-73 26 48.1| 5.65|-0.04   |5782|        |-0.38   |
|HR 3334|Eta Vol  |08 22 04.39|-73 24 00.0| 5.29|0.01    |3334|0.010   |-0.01   |
|HR 5730|Kap1Aps  |15 31 30.79|-73 23 21.8| 5.49|-0.12   |5730|        |-0.77   |
|HR 3417|         |08 32 42.19|-73 21 24.1| 6.12|0.95    |3417|        |0.66    |
|HR 3171|         |07 59 16.10|-73 14 40.9| 6.34|0.14    |3171|        |0.13    |
|HR 32  |         |00 10 38.59|-73 13 27.8| 6.64|0.37    |  32|        |0.06    |
|HR 4142|         |10 31 01.99|-73 13 18.1| 4.93|1.68    |4142|        |1.83    |
|HR 5520|         |14 53 13.70|-73 11 24.0| 5.60|0.82    |5520|        |0.42    |
|HR 8061|         |21 09 22.30|-73 10 23.2| 5.68|0.59    |8061|0.048   |0.10    |
|HR 169 |         |00 38 40.80|-73 08 13.9| 6.85|0.11    | 169|        |0.12    |
|HR 2531|         |06 43 36.79|-73 07 05.2| 6.37|0.96    |2531|        |0.66    |
|HR 3821|         |09 31 36.29|-73 04 50.9| 5.47|1.56    |3821|        |1.75    |
|HR 1700|         |05 06 09.29|-73 02 16.1| 6.27|-0.01   |1700|        |0.01    |
|HR 4769|         |12 32 10.01|-73 00 06.1| 5.88|1.11    |4769|        |1.05    |
|HR 7027|         |18 49 43.49|-72 59 40.9| 6.06|0.00    |7027|        |-0.09   |
|HR 7590|Eps Pav  |20 00 35.50|-72 54 38.2| 3.96|-0.03   |7590|0.016   |-0.05   |
|HR 9106|         |00 04 30.70|-72 53 52.1| 7.31|0.44    |9106|        |0.01    |
|HR 5628|         |15 12 33.79|-72 46 13.1| 6.01|0.00    |5628|        |-0.24   |
|HR 2062|Lam Men  |05 47 48.10|-72 42 07.9| 6.53|1.08    |2062|        |0.97    |
|HR 4664|         |12 16 23.50|-72 36 52.9| 6.22|-0.01   |4664|        |-0.06   |
|HR 3024|Zet Vol  |07 41 49.20|-72 36 22.0| 3.95|1.04    |3024|0.017   |0.83    |
|HR 3643|         |09 05 08.81|-72 36 10.1| 4.48|0.61    |3643|0.024   |0.22    |
|HR 3544|         |08 49 50.30|-72 33 02.9| 6.11|0.20    |3544|        |0.17    |
|HR 8081|         |21 11 20.69|-72 32 39.1| 6.20|1.08    |8081|        |1.03    |
|HR 7498|         |19 49 25.30|-72 30 11.9| 5.41|0.22    |7498|0.033   |0.11    |
|HR 4425|         |11 28 18.19|-72 28 27.8| 6.09|0.16    |4425|        |-0.42   |
|HR 4213|         |10 44 26.50|-72 26 38.0| 6.27|0.49    |4213|        |0.01    |
|HR 1606|         |04 53 05.50|-72 24 27.0| 6.28|0.52    |1606|        |0.01    |
|HR 5955|         |16 05 55.80|-72 24 02.9| 5.70|1.17    |5955|        |1.26    |
|HR 4406|         |11 24 11.09|-72 15 24.1| 5.59|0.06    |4406|        |-0.57   |
|HR 8515|Nu  Ind  |22 24 36.79|-72 15 20.2| 5.29|0.65    |8515|0.031   |-0.06   |
|HR 6565|         |17 44 19.70|-72 13 14.9| 6.49|0.48    |6565|0.032   |-0.04   |
|HR 4907|         |12 56 31.51|-72 11 07.1| 5.93|1.13    |4907|        |0.90    |
|HR 5030|         |13 22 52.61|-72 08 48.1| 6.05|0.09    |5030|        |-0.34   |
|HR 4773|Gam Mus  |12 32 28.01|-72 07 59.2| 3.87|-0.15   |4773|        |-0.62   |
|HR 95  |47    Tuc|00 24 05.80|-72 04 52.0|     |        |  95|        |        |
|HR 5012|         |13 19 18.91|-72 02 08.2| 6.04|1.35    |5012|        |1.46    |
|HR 4389|         |11 20 03.91|-71 59 39.8| 6.41|0.05    |4389|        |-0.48   |
|HR 4138|         |10 30 20.11|-71 59 35.2| 4.74|0.04    |4138|0.014   |0.07    |
|HR 4862|         |12 49 44.90|-71 59 11.0| 5.55|1.17    |4862|        |0.95    |
|HR 5598|         |15 07 08.71|-71 54 19.1| 6.52|1.59    |5598|        |1.86    |
|HR 939 |The Hyi  |03 02 15.41|-71 54 09.0| 5.53|-0.14   | 939|0.103   |-0.51   |
|HR 8159|         |21 25 18.10|-71 47 57.8| 6.09|1.26    |8159|        |1.41    |
|HR 2505|         |06 40 57.79|-71 46 32.2| 6.51|1.11    |2505|        |1.07    |
|HR 2283|         |06 15 05.90|-71 42 10.1| 6.64|0.56    |2283|        |0.01    |
|HR 3777|         |09 27 06.41|-71 36 07.9| 5.47|1.08    |3777|0.036   |0.98    |
|HR 4923|Del Mus  |13 02 16.20|-71 32 56.0| 3.62|1.18    |4923|0.030   |1.26    |
|HR 3301|Kap1Vol  |08 19 49.01|-71 30 54.0| 5.37|-0.06   |3301|        |-0.31   |
|HR 3302|Kap2Vol  |08 20 00.70|-71 30 19.1| 5.65|-0.10   |3302|        |-0.31   |
|HR 4596|         |12 02 28.61|-71 29 20.0| 6.42|1.17    |4596|        |1.14    |
|HR 4930|         |13 03 05.21|-71 28 34.0| 6.03|0.05    |4930|        |-0.87   |
|HR 9108|         |00 04 41.30|-71 26 12.8| 5.59|-0.12   |9108|        |-0.42   |
|HR 4349|         |11 11 29.50|-71 26 11.0| 6.35|1.37    |4349|        |1.54    |
|HR 6982|Zet Pav  |18 43 02.11|-71 25 41.2| 4.01|1.14    |6982|0.035   |1.02    |
|HR 3944|         |09 56 09.70|-71 23 21.8| 6.35|-0.08   |3944|        |-0.93   |
|HR 1677|Bet Men  |05 02 43.01|-71 18 51.8| 5.31|1.00    |1677|0.013   |0.77    |
|HR 139 |The Tuc  |00 33 23.30|-71 15 58.0| 6.13|0.23    | 139|        |0.20    |
|HR 8286|         |21 45 28.80|-71 00 32.0| 6.01|-0.10   |8286|        |-0.35   |
